letra,respuesta,definicion
A,Acuarela,Técnica de pintura hecha con agua y pigmentos
B,Baldosa,Pieza plana que se usa para cubrir pisos o paredes
C,Cúpula,Techo redondeado con forma de media esfera
D,Dínamo,Dispositivo que convierte movimiento en electricidad
E,Ecosistema,Conjunto de seres vivos y su ambiente en equilibrio
F,Fósil,Resto o huella de un ser vivo antiguo preservado en roca
G,Garganta,Paso estrecho entre montañas o rocas
H,Holograma,Imagen que parece tener volumen y flotar en el aire
I,Invernadero,Estructura de vidrio/plástico para cultivar plantas
J,Jengibre,Raíz aromática usada en cocina y bebidas
K,Kiosco,Puesto pequeño donde se venden golosinas o diarios
L,Lluvia,Agua que cae de las nubes en forma de gotas
M,Mosaico,Imagen hecha con pequeñas piezas de cerámica o vidrio
N,Nácar,Material brillante del interior de algunas conchas
Ñ,Ñandú,Ave grande sudamericana parecida al avestruz
O,Oxígeno,Gas esencial para respirar
P,Prisma,Sólido transparente que separa la luz en colores
Q,Quórum,Cantidad mínima de personas para tomar decisiones
R,Relámpago,Destello de luz producido por una descarga eléctrica
S,Sismógrafo,Instrumento que registra temblores de la Tierra
T,Tundra,Bioma frío con vegetación baja y suelos helados
U,Umbral,Entrada o límite que marca el inicio de algo
V,Vitrina,Mueble con vidrio para exhibir objetos
W,WiFi,Tecnología para conectarse a internet sin cables
X,Xerografía,Técnica de copiado usada en fotocopiadoras
Y,Yacimiento,Lugar donde se encuentran minerales o fósiles
Z,Zumbido,"Sonido continuo y vibrante, como el de un insecto"
